Data,Impressions,Link Clicks,Amount Spent
2022-09-29,10042.0,36.0,141.46
2022-09-29,8121.0,2.0,37.56
2022-09-29,12084.0,94.0,78.03
2022-09-30,1588.0,14.895486935866984,11.16
2022-09-30,10469.0,36.0,133.28
2022-09-30,7879.0,4.0,34.83
2022-09-30,11349.0,72.0,69.26
2022-10-07,6367.0,1.0,8.0
2022-10-07,1941.0,16.0,9.62
2022-10-07,3822.0,18.0,27.58
2022-10-07,1978.0,1.0,7.03
2022-10-08,2914.0,1.0,10.4
2022-10-08,4872.0,26.0,39.97
2022-10-08,8613.0,14.895486935866984,11.4
2022-10-08,2824.0,23.0,12.54
2022-10-09,3260.0,5.0,10.96
2022-10-09,5049.0,53.0,44.3
2022-10-09,10727.0,4.0,12.69
2022-10-09,3293.0,19.0,13.76
2022-10-10,4323.0,14.895486935866984,11.52
2022-10-10,4518.0,45.0,44.18
2022-10-10,10584.0,5.0,12.08
2022-10-10,2970.0,18.0,12.5
2022-10-11,9633.0,2.0,10.48
2022-10-11,2836.0,13.0,12.42
2022-10-11,4064.0,40.0,39.09
2022-10-11,4802.0,3.0,10.15
2022-10-12,5017.0,14.895486935866984,9.89
2022-10-12,4621.0,51.0,38.96
2022-10-12,9616.0,2.0,11.22
2022-10-12,2713.0,19.0,13.05
2022-10-13,4417.0,14.895486935866984,9.57
2022-10-13,4162.0,33.0,38.36
2022-10-13,10466.0,5.0,11.05
2022-10-13,2502.0,18.0,12.55
2022-10-14,4251.0,4.0,10.2
2022-10-14,4033.0,48.0,39.01
2022-10-14,9848.0,5.0,10.73
2022-10-14,2670.0,22.0,12.83
2022-10-15,2970.0,18.0,13.48
2022-10-15,4227.0,55.0,40.07
2022-10-15,10430.0,5.0,11.45
2022-10-15,4342.0,2.0,10.53
2022-10-16,4984.0,4.0,10.62
2022-10-16,5577.0,49.0,43.49
2022-10-16,12827.0,4.0,12.53
2022-10-16,3256.0,15.0,14.32
2022-10-17,4556.0,3.0,10.04
2022-10-17,4926.0,35.0,40.97
2022-10-17,10866.0,2.0,10.65
2022-10-17,3007.0,18.0,12.98
2022-10-18,4489.0,3.0,10.35
2022-10-18,4860.0,41.0,39.54
2022-10-18,10226.0,5.0,10.83
2022-10-18,2846.0,18.0,12.9
2022-10-19,3003.0,19.0,12.77
2022-10-19,4553.0,46.0,37.78
2022-10-19,11244.0,14.895486935866984,11.71
2022-10-19,4357.0,3.0,10.08
2022-10-20,4016.0,1.0,9.53
2022-10-20,7566.0,45.0,40.15
2022-10-20,11510.0,14.895486935866984,10.24
2022-10-20,2679.0,14.0,12.72
2022-10-21,3890.0,6.0,10.07
2022-10-21,8947.0,21.0,38.62
2022-10-21,10997.0,8.0,10.77
2022-10-21,2312.0,7.0,12.48
2022-10-22,3972.0,14.895486935866984,10.24
2022-10-22,9296.0,32.0,39.14
2022-10-22,12307.0,3.0,11.6
2022-10-22,2329.0,13.0,12.79
2022-10-23,2672.0,11.0,13.53
2022-10-23,10625.0,32.0,42.43
2022-10-23,13880.0,1.0,11.92
2022-10-23,4558.0,3.0,10.59
2022-10-24,4315.0,2.0,10.13
2022-10-24,7801.0,38.0,38.95
2022-10-24,12645.0,4.0,11.03
2022-10-24,2646.0,15.0,13.67
2022-10-25,3930.0,2.0,9.71
2022-10-25,7171.0,29.0,39.75
2022-10-25,10672.0,1.0,10.92
2022-10-25,2144.0,13.0,13.33
2022-10-26,3705.0,1.0,10.01
2022-10-26,7201.0,25.0,38.37
2022-10-26,10524.0,2.0,10.81
2022-10-26,2155.0,13.0,11.61
2022-10-27,2082.0,15.0,11.89
2022-10-27,9843.0,1.0,10.5
2022-10-27,6257.0,21.0,36.05
2022-10-27,3111.0,14.895486935866984,8.82
2022-10-28,3465.0,2.0,9.81
2022-10-28,6107.0,23.0,38.03
2022-10-28,11334.0,3.0,11.74
2022-10-28,2270.0,19.0,12.9
2022-10-29,3476.0,3.0,10.16
2022-10-29,6679.0,23.0,39.93
2022-10-29,12886.0,3.0,12.08
2022-10-29,2738.0,17.0,13.11
2022-10-30,4769.0,1.0,11.21
2022-10-30,11090.0,13.0,45.88
2022-10-30,18637.0,2.0,13.22
2022-10-30,4310.0,23.0,15.2
2022-10-31,1552.0,16.0,7.68
2022-10-31,2469.0,9.0,10.21
2022-10-31,9680.0,14.895486935866984,5.97
2022-10-31,2158.0,1.0,5.11
2022-11-01,2393.0,14.895486935866984,4.28
2022-11-01,7214.0,2.0,4.38
2022-11-01,722.0,7.0,3.37
2022-11-07,864.0,14.895486935866984,1.64
2022-11-08,1939.0,1.0,3.54
2022-11-09,1735.0,2.0,3.24
2022-11-10,1555.0,14.895486935866984,2.96
2022-11-11,1660.0,14.895486935866984,3.41
2022-11-12,1804.0,1.0,3.65
2022-11-13,1944.0,1.0,3.81
2022-11-14,1921.0,14.895486935866984,3.7
2022-11-15,1095.0,10.0,3.94
2022-11-15,1872.0,3.0,3.46
2022-11-15,57.0,14.895486935866984,1.36
2022-11-16,191.0,14.895486935866984,5.72
2022-11-16,1738.0,2.0,3.28
2022-11-16,3674.0,25.0,12.09
2022-11-17,194.0,14.895486935866984,5.6
2022-11-17,1493.0,1.0,2.92
2022-11-17,3738.0,19.0,12.41
2022-11-18,201.0,14.895486935866984,5.51
2022-11-18,1506.0,14.895486935866984,3.07
2022-11-18,3423.0,19.0,12.19
2022-11-19,204.0,14.895486935866984,6.07
2022-11-19,1704.0,1.0,3.38
2022-11-19,3814.0,24.0,13.73
2022-11-20,4209.0,20.0,14.52
2022-11-20,1844.0,2.0,3.46
2022-11-20,249.0,14.895486935866984,6.41
2022-11-21,276.0,14.895486935866984,6.19
2022-11-21,1921.0,14.895486935866984,3.73
2022-11-21,4136.0,20.0,14.23
2022-11-22,901.0,14.895486935866984,17.76
2022-11-22,3898.0,2.0,12.22
2022-11-22,3541.0,22.0,13.41
2022-11-23,1072.0,14.895486935866984,23.92
2022-11-23,4565.0,2.0,18.03
2022-11-23,2468.0,13.0,12.25
2022-11-24,1927.0,3.0,31.63
2022-11-24,4561.0,4.0,19.75
2022-11-24,2809.0,13.0,12.1
2022-11-25,2222.0,18.0,12.41
2022-11-25,4310.0,4.0,19.6
2022-11-25,1564.0,14.895486935866984,33.1
2022-11-26,1947.0,5.0,36.23
2022-11-26,4588.0,2.0,20.7
2022-11-26,2705.0,19.0,14.21
2022-11-27,2371.0,2.0,38.08
2022-11-27,4941.0,8.0,21.57
2022-11-27,2908.0,19.0,14.6
2022-11-28,2696.0,4.0,35.9
2022-11-28,4649.0,6.0,20.94
2022-11-28,3071.0,24.0,13.7
2022-11-29,1603.0,1.0,35.37
2022-11-29,6027.0,2.0,31.62
2022-11-29,3246.0,18.0,13.3
2022-11-30,2722.0,18.0,10.91
2022-11-30,5759.0,10.0,36.32
2022-11-30,1608.0,2.0,31.04
2022-12-01,0.0,14.895486935866984,0.0
2022-12-09,309.0,14.895486935866984,9.33
2022-12-10,420.0,14.895486935866984,12.7
2022-12-11,555.0,2.0,14.18
2022-12-12,533.0,1.0,13.26
2022-12-13,556.0,2.0,12.44
2022-12-14,558.0,1.0,12.49
2022-12-14,6723.0,5.0,20.67
2022-12-15,488.0,1.0,12.23
2022-12-15,7020.0,8.0,22.92
2022-12-16,498.0,14.895486935866984,12.14
2022-12-16,6928.0,3.0,21.43
2022-12-17,7448.0,8.0,22.36
2022-12-17,475.0,2.0,13.31
2022-12-18,8515.0,6.0,25.44
2022-12-18,624.0,2.0,14.57
2022-12-19,736.0,2.0,15.63
2022-12-19,8117.0,7.0,23.38
2022-12-19,22952.0,13.0,16.91
2022-12-20,719.0,2.0,15.83
2022-12-20,7238.0,6.0,22.47
2022-12-20,26918.0,7.0,21.46
2022-12-21,2167.0,14.895486935866984,17.11
2022-12-21,7026.0,4.0,23.62
2022-12-21,25234.0,9.0,21.0
2022-12-22,6806.0,9.0,15.57
2022-12-22,10812.0,15.0,21.44
2022-12-22,24561.0,7.0,20.78
2022-12-23,24685.0,13.0,21.26
2022-12-23,7347.0,13.0,15.81
2022-12-23,10120.0,14.0,21.77
2022-12-24,8630.0,8.0,16.23
2022-12-24,10925.0,34.0,21.49
2022-12-24,30529.0,7.0,23.64
2022-12-25,10528.0,9.0,17.37
2022-12-25,13891.0,22.0,24.73
2022-12-25,41679.0,15.0,23.71
2022-12-26,11063.0,10.0,16.92
2022-12-26,14421.0,33.0,23.93
2022-12-26,38697.0,18.0,22.88
2022-12-27,9348.0,9.0,15.28
2022-12-27,11941.0,15.0,20.47
2022-12-27,34314.0,14.0,21.61
2022-12-28,30876.0,11.0,21.06
2022-12-28,10506.0,8.0,20.18
2022-12-28,8206.0,5.0,14.37
2022-12-29,9350.0,12.0,15.76
2022-12-29,12128.0,20.0,22.25
2022-12-29,36316.0,6.0,22.6
2022-12-30,9141.0,9.0,15.21
2022-12-30,11495.0,14.0,21.75
2022-12-30,36060.0,11.0,21.25
2022-12-31,1298.0,2.0,2.26
2022-12-31,11492.0,8.0,19.7
2022-12-31,40212.0,15.0,21.84
2023-01-13,531.0,14.895486935866984,9.4
2023-01-14,1444.0,14.895486935866984,24.36
2023-01-14,2827.0,14.895486935866984,8.92
2023-01-15,1464.0,3.0,26.35
2023-01-15,3292.0,1.0,9.66
2023-01-16,1324.0,2.0,25.67
2023-01-16,4304.0,14.895486935866984,10.21
2023-01-16,13044.0,1.0,9.23
2023-01-17,1146.0,1.0,23.42
2023-01-17,4012.0,14.895486935866984,8.67
2023-01-17,21622.0,1.0,14.9
2023-01-18,1036.0,14.895486935866984,22.85
2023-01-18,2854.0,14.895486935866984,8.34
2023-01-18,18959.0,1.0,14.25
2023-01-19,1074.0,1.0,22.87
2023-01-19,2554.0,14.895486935866984,8.56
2023-01-19,18148.0,1.0,14.26
2023-01-20,18392.0,2.0,14.83
2023-01-20,2601.0,14.895486935866984,8.63
2023-01-20,1167.0,2.0,23.64
2023-01-21,1322.0,1.0,24.72
2023-01-21,3370.0,14.895486935866984,9.15
2023-01-21,21677.0,4.0,16.42
2023-01-22,1629.0,2.0,26.38
2023-01-22,4050.0,14.895486935866984,9.66
2023-01-22,25511.0,2.0,17.12
2023-01-23,1573.0,4.0,24.88
2023-01-23,3080.0,14.895486935866984,8.94
2023-01-23,22039.0,2.0,15.13
2023-01-24,1312.0,14.895486935866984,25.75
2023-01-24,3068.0,14.895486935866984,8.72
2023-01-24,24132.0,8.0,15.74
2023-01-24,846.0,4.0,15.68
2023-01-25,6121.0,28.0,20.0
2023-01-25,2671.0,14.895486935866984,7.79
2023-01-25,22689.0,5.0,14.46
2023-01-25,1713.0,2.0,24.65
2023-01-26,1815.0,6.0,23.33
2023-01-26,2642.0,14.895486935866984,8.64
2023-01-26,22083.0,5.0,15.27
2023-01-26,13579.0,94.0,19.92
2023-01-27,2221.0,4.0,18.29
2023-01-27,2863.0,14.895486935866984,8.57
2023-01-27,22008.0,4.0,14.86
2023-01-27,14085.0,78.0,19.57
2023-01-28,5090.0,7.0,16.8
2023-01-28,3375.0,14.895486935866984,9.39
2023-01-28,25232.0,3.0,16.73
2023-01-28,15156.0,75.0,21.67
2023-01-29,16449.0,84.0,22.59
2023-01-29,29630.0,5.0,17.2
2023-01-29,3677.0,14.895486935866984,9.66
2023-01-29,6236.0,2.0,18.4
2023-01-30,12935.0,16.0,41.27
2023-01-30,2939.0,14.895486935866984,9.17
2023-01-30,24541.0,6.0,14.65
2023-01-30,15493.0,73.0,21.4
2023-01-31,13151.0,32.0,45.1
2023-01-31,2642.0,14.895486935866984,8.92
2023-01-31,23454.0,9.0,14.95
2023-01-31,13640.0,70.0,19.14
2023-02-01,14351.0,31.0,41.6
2023-02-02,6621.0,15.0,18.27
2023-02-13,1663.0,2.0,32.0
2023-02-13,2148.0,14.895486935866984,6.47
2023-02-13,5148.0,31.0,8.13
2023-02-14,7650.0,42.0,11.03
2023-02-14,2511.0,5.0,44.47
2023-02-14,2811.0,1.0,8.88
2023-02-15,3164.0,4.0,42.25
2023-02-15,2544.0,3.0,8.84
2023-02-15,8448.0,31.0,10.3
2023-02-16,3393.0,5.0,43.21
2023-02-16,2288.0,3.0,8.65
2023-02-16,8588.0,42.0,11.96
2023-02-17,3166.0,7.0,42.63
2023-02-17,2154.0,14.895486935866984,8.69
2023-02-17,9173.0,41.0,12.28
2023-02-18,3548.0,6.0,44.15
2023-02-18,3081.0,2.0,9.09
2023-02-18,9492.0,42.0,12.86
2023-02-19,9746.0,53.0,13.44
2023-02-19,3702.0,7.0,9.43
2023-02-19,3874.0,8.0,47.15
2023-02-20,4333.0,2.0,43.61
2023-02-20,3654.0,3.0,8.88
2023-02-20,10855.0,53.0,12.74
2023-02-21,4704.0,7.0,44.78
2023-02-21,3509.0,1.0,9.0
2023-02-21,11273.0,43.0,12.54
2023-02-22,4298.0,7.0,42.35
2023-02-22,2758.0,2.0,8.64
2023-02-22,10789.0,54.0,11.56
2023-02-23,3970.0,8.0,43.24
2023-02-23,2649.0,1.0,8.67
2023-02-23,9771.0,52.0,11.83
2023-02-24,9543.0,57.0,11.7
2023-02-24,2620.0,2.0,8.69
2023-02-24,3973.0,6.0,43.18
2023-02-25,3876.0,6.0,45.93
2023-02-25,2991.0,1.0,9.19
2023-02-25,10341.0,47.0,12.89
2023-02-26,3680.0,5.0,46.97
2023-02-26,2918.0,1.0,9.19
2023-02-26,9080.0,54.0,12.85
2023-02-27,10774.0,17.0,45.47
2023-02-27,1491.0,1.0,6.05
2023-02-27,3114.0,6.0,5.0
2023-02-28,9592.0,18.0,40.61
2023-02-28,1128.0,14.895486935866984,5.04
2023-02-28,1712.0,2.0,3.92
2023-04-11,17569.0,74.0,57.03
2023-04-12,24418.0,95.0,85.37
