Data,Impressions,Link Clicks
08/03/2022,1080,15
08/03/2022,718,14
08/03/2022,1609,41
08/03/2022,258,8
08/03/2022,2656,30
08/03/2022,4905,63
08/03/2022,288,5
08/03/2022,1072,19
08/03/2022,4312,48
08/03/2022,132,9
08/03/2022,184,5
08/03/2022,3917,142
08/03/2022,9639,350
08/03/2022,2569,24
08/03/2022,3492,56
08/03/2022,385,2
08/03/2022,1306,27
08/03/2022,247,3
08/03/2022,700,16
08/03/2022,659,14
08/03/2022,56,3
08/03/2022,128,5
08/03/2022,4789,175
08/03/2022,5709,350
08/03/2022,6657,346
08/03/2022,1627,23
08/03/2022,11464,226
08/03/2022,603,8
08/03/2022,38,1
08/03/2022,141,1
08/03/2022,49,3
08/03/2022,58887,1520
08/03/2022,65529,2200
08/03/2022,36258,1299
08/03/2022,18708,400
08/03/2022,35911,450
08/03/2022,4008,38
08/03/2022,7548,72
08/03/2022,5421,55
08/03/2022,12461,170
08/03/2022,3062,5
08/03/2022,21117,101
08/03/2022,5885,20
08/03/2022,13678,75
08/03/2022,7640,15
09/03/2022,322,2
09/03/2022,560,11
09/03/2022,284,1
09/03/2022,2273,38
09/03/2022,770,23
09/03/2022,983,12
09/03/2022,1602,45
09/03/2022,872,24
09/03/2022,811,29
09/03/2022,349,2
09/03/2022,293,9
09/03/2022,724,15
09/03/2022,23,2
09/03/2022,214,4
09/03/2022,408,6
09/03/2022,20,
09/03/2022,48,1
09/03/2022,277,6
09/03/2022,746,11
09/03/2022,554,7
09/03/2022,13718,391
09/03/2022,43537,924
09/03/2022,717,12
09/03/2022,225,4
09/03/2022,131,3
09/03/2022,3412,37
09/03/2022,7415,108
09/03/2022,584,3
09/03/2022,3080,66
09/03/2022,490,11
09/03/2022,2385,64
09/03/2022,2123,81
09/03/2022,84,4
09/03/2022,260,3
09/03/2022,119,
09/03/2022,320,3
09/03/2022,135,4
10/03/2022,227,2
10/03/2022,729,11
10/03/2022,265,2
10/03/2022,1633,26
10/03/2022,565,13
10/03/2022,737,14
10/03/2022,1971,43
10/03/2022,796,17
10/03/2022,837,16
10/03/2022,38,
10/03/2022,486,9
10/03/2022,503,9
10/03/2022,37,
10/03/2022,144,1
10/03/2022,267,6
10/03/2022,16062,338
10/03/2022,55775,813
